id,skills,skills-want,YearsCodePro
1,Java;JavaScript;Python;SQL;MySQL;SQLite;Node.js;React.js,Dart;Java;SQL;MySQL;SQLite,3
2,C++;HTML/CSS;Java;JavaScript;PHP;Python;TypeScript;AWS;Firebase;Google Cloud;Next.js;Node.js;React.js;Vue.js;Homebrew;npm;Yarn,HTML/CSS;JavaScript;TypeScript;AWS;Firebase;Google Cloud;Next.js;Node.js;React.js;Vue.js;Flutter;Homebrew;npm;Yarn,4
3,C++;HTML/CSS;Java;PHP;Python;SQL;MariaDB;MySQL;Oracle;SQLite;VMware;Unity 3D;Unreal Engine,Python;MySQL;SQLite;Unity 3D;Unreal Engine,4
4,HTML/CSS;JavaScript;Kotlin;TypeScript;AWS;Firebase;Microsoft Azure;Node.js;React.js;React Native;npm,HTML/CSS;JavaScript;TypeScript;AWS;Firebase;Angular.js;Next.js;React.js;Vue.js;React Native;npm,2
5,C#;Java;JavaScript;PHP;PowerShell;Python;R;SQL;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite;AWS;Google Cloud;Microsoft Azure;Node.js;.NET;NumPy;Pandas;Scikit-learn;Docker;Homebrew;Kubernetes;npm,Python;R;SQL;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite;AWS;Google Cloud;Microsoft Azure;Apache Kafka;Apache Spark;Hadoop;NumPyPandas;Docker;Homebrew;Kubernetes,9
6,MATLAB;Python;R;SQL;Swift;Cassandra;CouchDB;MariaDB;Microsoft SQL Server;MySQL;Neo4j;Firebase Realtime Database;Firebase;IBM Cloud or Watson;Microsoft Azure;Angular;Angular.js;ASP.NET;ASP.NET Core;Django;Flask;jQuery;React.js;Vue.js;.NET;Apache Kafka;Apache Spark;Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Docker;Homebrew,Python;Microsoft SQL Server;MongoDB;Neo4j;AWS;Google Cloud;Microsoft Azure;Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Docker;Homebrew;Kubernetes,1
7,Bash/Shell;PowerShell;Python;Scala;SQL;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite;Microsoft Azure;VMware;Django;Apache Kafka;Apache Spark;Cordova;Hadoop;Keras;NumPy;Pandas;Scikit-learn;npm;Terraform,Python;R;Scala;Microsoft SQL Server;MongoDB;Neo4j;AWS;Google Cloud;Microsoft Azure;React.js;Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Docker;Kubernetes;Terraform,12
8,Bash/Shell;C#;C++;Java;PowerShell;Python;R;Scala;SQL;Swift;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite;Microsoft Azure;jQuery;Ruby on Rails;Apache Kafka;Apache Spark;Hadoop;NumPy;Pandas;Docker;Kubernetes;npm,C#;Python;SQL;Cassandra;MariaDB;Microsoft SQL Server;MySQL;Microsoft Azure;Angular;Apache Spark;Hadoop;NumPy;Pandas;Docker;npm;Terraform,6
9,Assembly;Bash/Shell;C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;LISP;MATLAB;PowerShell;Python;R;Rust;SQL;TypeScript;VBA;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Heroku;Microsoft Azure;ASP.NET;ASP.NET Core;Django;Express;FastAPI;Flask;Gatsby;jQuery;Next.js;Node.js;React.js;Svelte;.NET;Apache Kafka;Apache Spark;Hadoop;NumPy;Pandas;React Native;Scikit-learn;TensorFlow;Torch/PyTorch;Docker;npm;Unity 3D;Unreal Engine,C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript;MongoDB;MySQL;PostgreSQL;AWS;Google Cloud;Microsoft Azure;ASP.NET;ASP.NET Core;Django;Express;FastAPI;Flask;Gatsby;jQuery;Node.js;React.js;Svelte;.NET;Apache Kafka;Apache Spark;Hadoop;NumPy;Pandas;React Native;Scikit-learn;TensorFlow;Torch/PyTorch;Docker;npm;Terraform;Unity 3D;Unreal Engine,0
10,MATLAB;Python;R;SQL;Microsoft SQL Server;Microsoft Azure;NumPy;Pandas;Docker;Kubernetes;Terraform,C++;Python;Scala;DynamoDB;MongoDB;MySQL;Oracle;PostgreSQL;AWS;Google Cloud;Apache Kafka;Apache Spark;Hadoop;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch,1.5
