,id,skills,rank-model1,rank-model2,rank-model3
10284,118970,"['3d Unity', 'Unity Developer', 'unity programmer', 'unity software engineer', 'unity software developer', 'unity program', 'Lightning', 'Texturing', 'rigging and Animation', 'Unity 3D', '3D modeling']",36.0,1.0,1.0
7800,73728,"['Django', 'Python']",44.5,3.5,2.5
2775,86869,"['Django', 'Python']",44.5,3.5,2.5
1914,86804,"['AWS', 'Python Celery', 'Circus', 'Python Web Framework', 'Python Developer', 'Python', 'Linux', 'MySQL']",53.0,8.0,4.0
6343,102795,"['Puppet', 'Ansible', 'Docker', 'Chef']",49.0,9.0,5.0
6926,73562,"['data anayast', 'Python', 'SQL']",27.0,5.0,8.0
3055,107403,"['JS', 'Node.js', 'Redis', 'Scala', 'Ruby', 'JQuery', 'MySQL', 'PHP', 'Java', 'Python', 'C++', 'C#']",1.0,2.0,33.0
63,101801,"['MongoDB', 'Javascript', 'Python', 'Java', 'MySQL', 'PHP', 'C++', 'Django', 'CSS', 'Postgresql']",2.0,7.0,41.0
2118,39153,"['Python', 'Java', 'MySQL', 'Javascript', 'PHP', 'Django', 'CSS', 'C++', 'Postgresql', 'Ruby']",3.0,10.0,51.0
8571,35442,"['GIT', 'Hadoop', 'Ruby and Java. Good PHP', 'Smarty', 'PHP', 'MySQL', 'Java', 'Apache', 'Oracle', 'Ruby', 'Python']",4.0,14.0,63.0
7153,25120,"['C++ Developer', 'SQL', 'MySQL', 'Oracle', 'C++', 'Database']",5.0,21.0,64.0
