skill,type
APL,Programming Language
Assembly,Programming Language
Bash/Shell,Programming Language
C,Programming Language
C#,Programming Language
C++,Programming Language
Clojure,Programming Language
COBOL,Programming Language
Crystal,Programming Language
Dart,Programming Language
Delphi,Programming Language
Elixir,Programming Language
Erlang,Programming Language
F#,Programming Language
Fortran,Programming Language
Go,Programming Language
Groovy,Programming Language
Haskell,Programming Language
HTML/CSS,Programming Language
Java,Programming Language
JavaScript,Programming Language
Julia,Programming Language
Kotlin,Programming Language
LISP,Programming Language
Lua,Programming Language
MATLAB,Programming Language
OCaml,Programming Language
Objective-C,Programming Language
Perl,Programming Language
PHP,Programming Language
PowerShell,Programming Language
Python,Programming Language
R,Programming Language
Ruby,Programming Language
Rust,Programming Language
SAS,Programming Language
Scala,Programming Language
Solidity,Programming Language
SQL,Programming Language
Swift,Programming Language
TypeScript,Programming Language
VBA,Programming Language
Cassandra,Database
Couchbase,Database
CouchDB,Database
Cloud Firestore,Database
DynamoDB,Database
Elasticsearch,Database
IBM DB2,Database
MariaDB,Database
Microsoft SQL Server,Database
MongoDB,Database
MySQL,Database
Neo4j,Database
Oracle,Database
PostgreSQL,Database
Firebase Realtime Database,Database
Redis,Database
SQLite,Database
AWS,Cloud Platform
Colocation,Cloud Platform
DigitalOcean,Cloud Platform
Firebase,Cloud Platform
Google Cloud,Cloud Platform
Heroku,Cloud Platform
IBM Cloud or Watson,Cloud Platform
Linode,Cloud Platform
Managed Hosting,Cloud Platform
Microsoft Azure,Cloud Platform
Oracle Cloud Infrastructure,Cloud Platform
OpenStack,Cloud Platform
OVH,Cloud Platform
VMware,Cloud Platform
Angular,Web Framework
Angular.js,Web Framework
ASP.NET,Web Framework
ASP.NET Core,Web Framework
Blazor,Web Framework
Deno,Web Framework
Django,Web Framework
Drupal,Web Framework
Express,Web Framework
FastAPI,Web Framework
Fastify,Web Framework
Flask,Web Framework
Gatsby,Web Framework
jQuery,Web Framework
Laravel,Web Framework
Next.js,Web Framework
Node.js,Web Framework
Nuxt.js,Web Framework
Phoenix,Web Framework
Play Framework,Web Framework
React.js,Web Framework
Ruby on Rails,Web Framework
Svelte,Web Framework
Symfony,Web Framework
Vue.js,Web Framework
.NET,Other Framework
Apache Kafka,Other Framework
Apache Spark,Other Framework
Capacitor,Other Framework
Cordova,Other Framework
Electron,Other Framework
Flutter,Other Framework
GTK,Other Framework
Hadoop,Other Framework
Ionic,Other Framework
Keras,Other Framework
NumPy,Other Framework
Pandas,Other Framework
Qt,Other Framework
React Native,Other Framework
Scikit-learn,Other Framework
Spring,Other Framework
Tidyverse,Other Framework
TensorFlow,Other Framework
Torch/PyTorch,Other Framework
Hugging Face Transformers,Other Framework
Uno Platform,Other Framework
Xamarin,Other Framework
Ansible,Developer Tools
Chef,Developer Tools
Docker,Developer Tools
Flow,Developer Tools
Homebrew,Developer Tools
Kubernetes,Developer Tools
npm,Developer Tools
Pulumi,Developer Tools
Puppet,Developer Tools
Terraform,Developer Tools
Unity 3D,Developer Tools
Unreal Engine,Developer Tools
Yarn,Developer Tools
